"folderName","anyInserted","anyDeleted","getMovedSrcs","UpdatedSrcs","insertedIfConditions","deletedIfStmts","elseInserted","elseDeleted","AnythingInLineMoved","AnythingInLineUpdated","AnythingInLineDeleted","AnythingMovedIntoLine","AnythingInsertedIntoLine","EntireLineMoved","EntireLineDeleted","stringsUpdated","magicStringsReplaced","MovedBlocksInIfConditions","AddedOrUpdatedComments","InsertedAssertConditions","InsertedTryCatch","UpdatedValueAssignments","RemovedTryCatch","UpdatedFuncArguments","hasOldFile","hasNewFile","numOldFiles","numNewFiles","isDupe","error"
"3fce034c_47035b74","6","36","33","3","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_9c20a84b","9","58","53","3","0","0","0","2","0","0","3","2","18","0","1","3","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_8771e648","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","0",
"3f79a3b5_70904598","4","15","2","0","0","0","0","9","0","0","1","0","4","0","1","3","2","0","0","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_6f47d2a4","5","41","134","2","0","0","0","2","1","0","1","13","45","1","1","0","0","0","0","0","0","0","2","0","1","1","1","1","0",
"9fdfeff1_ebeada71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"dfd5e7cf_41411539","22","46","134","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","1","1","1","1","0",
"5fc1f717_0e1355b7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"3f79a3b5_0b70bfa6","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_12b72a89","0","7","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0",
"bfdaf3ff_44b279e8","0","35","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_01e4f0a5","29","153","128","18","0","0","0","0","3","1","1","3","21","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_23193bd1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","3","0","0","1","1","1","1","0",
